"2021년 02월 16일 21시","○","서울","강남구","강남구보건소","서울 강남구 삼성동(삼성2동) 8 강남구보건소","37.51636","127.042085","09:00 ~ 20:00","09:00 ~ 18:00","09:00 ~ 18:00","02-3423-5555"
"2021년 02월 16일 21시","○","서울","강남구","삼성서울병원","서울 강남구 일원로81 삼성서울병원","37.488611","127.08697","00:00 ~ 24:00","00:00 ~ 24:00","00:00 ~ 24:00","02-3410-0543"
"2021년 02월 16일 21시","○","서울","강남구","강남세브란스병원","서울 강남구 언주로211 강남세브란스병원","37.492435","127.046315","09:00 ~ 17:00","09:00 ~ 12:30","미운영","02-1599-6114"
"2021년 02월 16일 21시","○","서울","강동구","강동구보건소","서울 강동구 성내동 541-2","37.529235","127.125554","09:00 ~ 18:00","09:00 ~ 16:00","09:00 ~ 16:00","02-3425-6713"
"2021년 02월 16일 21시","○","서울","강동구","중앙보훈병원","서울 강동구 진황도로 61길 53","37.529091","127.147844","09:00 ~ 17:30","미운영","미운영","02-2225-1114"
"2021년 02월 16일 21시","○","서울","강동구","강동경희대병원","서울시 강동구 동남로 892","37.553037","127.15735","09:00 ~ 17:00","09:00 ~ 12:00","미운영","02-440-7000"
"2021년 02월 16일 21시","○","서울","강동구","강동성심병원","서울시 강동구 성안로 150","37.535974","127.13533","08:30 ~ 16:30","08:30 ~ 11:30","미운영","1588-4100"
"2021년 02월 16일 21시","○","서울","강북구","강북구보건소","서울 강북구 번제2동 232 강북보건소","37.639748","127.025558","09:00 ~ 18:00","09:00 ~ 18:00","09:00 ~ 18:00","02-901-7704.7706"
"2021년 02월 16일 21시","○","서울","강서구","강서구보건소","서울 강서구 염창동 275-12 강서보건소","37.549639","126.868329","09:00 ~ 18:00","09:00 ~ 15:00","09:00 ~ 15:00","02-2600-5465"
"2021년 02월 16일 21시","○","서울","강서구","이화여자대학교 서울병원","서울 강서구 공항대로 260","37.557265","126.836263","09:30 ~ 12:00","미운영","미운영","1522-7000"
"2021년 02월 16일 21시","○","서울","관악구","관악구보건소","서울 관악구 청룡동 1570-1","37.478269","126.951512","09:00 ~ 18:00","09:00 ~ 18:00","09:00 ~ 13:00","02-879-6000"
"2021년 02월 16일 21시","○","서울","관악구","에이치플러스양지병원","서울특별시 관악구 남부순환로 1636","37.484137","126.932569","08:30 ~ 17:00","08:30 ~ 12:30","미운영","1877-8875"
"2021년 02월 16일 21시","○","서울","광진구","광진구보건소","서울특별시 광진구 자양1동 777","37.538137","127.082768","09:00 ~ 18:00","09:00 ~ 18:00","09:00 ~ 18:00","02-450-1937"
"2021년 02월 16일 21시","○","서울","광진구","건국대학교병원","서울특별시 광진구 능동로 120-1","37.540584","127.071966","09:00 ~ 18:00","09:00 ~ 12:30","미운영","02-1588-1533"
"2021년 02월 16일 21시","○","서울","구로구","구로구보건소","서울 구로구 구로동(구로제5동) 109-4 구로5동 주민센터 구로구보건소","37.500119","126.889321","09:00 ~ 18:00","09:00 ~ 16:00","09:00 ~ 16:00","02-860-2012"
"2021년 02월 16일 21시","○","서울","구로구","고대구로병원","구로동로 148","37.495653","126.887781","09:00 ~ 17:30","미운영","미운영","02-2626-1554"
"2021년 02월 16일 21시","○","서울","구로구","구로성심병원","경인로 427","32.522025","123.741771","09:00 ~ 17:30","09:00 ~ 12:30","미운영","02-2067-1500"
"2021년 02월 16일 21시","○","서울","금천구","금천구보건소","서울 금천구 시흥제1동 1020 금천구보건소","37.456982","126.895667","09:00 ~ 18:00","09:00 ~ 16:00","09:00 ~ 16:00","02-2627-2717"
"2021년 02월 16일 21시","○","서울","금천구","희명병원","서울특별시 금천구 시흥대로 244","37.455686","126.90058","00:00 ~ 24:00","00:00 ~ 24:00","00:00 ~ 24:00","02-2219-7231"
"2021년 02월 16일 21시","○","서울","노원구","노원구보건소","서울 노원구 상계6.7동 노원구보건소 701-1","37.654922","127.066929","09:00 ~ 18:00","09:00 ~ 18:00","09:00 ~ 13:00","02-2116-3000"
"2021년 02월 16일 21시","○","서울","노원구","노원을지대학교병원","서울 노원구 한글비석로 68","37.636439","127.069948","09:00 ~ 17:00","미운영","미운영","02-970-8000"
